speaker,addressee,lines
Phoebe,Rachel,1367
Phoebe,Monica,1368
Phoebe,Chandler,789
Phoebe,Joey,958
Phoebe,Ross,895
Rachel,Phoebe,1334
Rachel,Monica,1389
Rachel,Chandler,670
Rachel,Joey,1183
Rachel,Ross,2478
Monica,Phoebe,1350
Monica,Rachel,1405
Monica,Chandler,2219
Monica,Joey,853
Monica,Ross,821
Chandler,Phoebe,767
Chandler,Rachel,671
Chandler,Monica,2279
Chandler,Joey,1863
Chandler,Ross,1154
Joey,Phoebe,975
Joey,Rachel,1268
Joey,Monica,862
Joey,Chandler,1875
Joey,Ross,1258
Ross,Phoebe,879
Ross,Rachel,2416
Ross,Monica,915
Ross,Chandler,1090
Ross,Joey,1237
