season,character,lines,words,characters_typed,speaking_scenes,line_share_pct,word_share_pct,lines_per_episode,words_per_episode,words_per_line,rank_by_lines
1,phoebe,637,6297,32492,164,13.34,13.12,26.54,262.38,9.89,6
1,rachel,853,8888,45608,183,17.87,18.51,35.54,370.33,10.42,3
1,ross,952,10107,52781,187,19.94,21.05,39.67,421.12,10.62,1
1,chandler,817,8758,46049,191,17.11,18.24,34.04,364.92,10.72,4
1,monica,875,7806,40684,193,18.33,16.26,36.46,325.25,8.92,2
1,joey,640,6156,32115,178,13.41,12.82,26.67,256.5,9.62,5
2,phoebe,666,8967,45537,176,14.6,17.25,27.75,373.62,13.46,5
2,rachel,811,8989,45263,214,17.78,17.3,33.79,374.54,11.08,2
2,ross,868,9427,48665,226,19.03,18.14,36.17,392.79,10.86,1
2,chandler,771,8878,46012,213,16.9,17.08,32.12,369.92,11.51,4
2,monica,790,8146,41755,204,17.32,15.67,32.92,339.42,10.31,3
2,joey,656,7566,38780,173,14.38,14.56,27.33,315.25,11.53,6
3,phoebe,793,9507,46834,178,15.13,16.86,31.72,380.28,11.99,5
3,rachel,925,9190,44208,187,17.65,16.3,37.0,367.6,9.94,2
3,ross,1075,11101,54597,200,20.52,19.68,43.0,444.04,10.33,1
3,chandler,825,9232,45638,200,15.74,16.37,33.0,369.28,11.19,4
3,monica,847,8616,41835,189,16.16,15.28,33.88,344.64,10.17,3
3,joey,775,8751,43101,188,14.79,15.52,31.0,350.04,11.29,6
4,phoebe,711,8692,41848,154,14.45,16.25,29.62,362.17,12.23,6
4,rachel,908,9744,47072,190,18.46,18.21,37.83,406.0,10.73,2
4,ross,807,8990,44218,172,16.4,16.8,33.62,374.58,11.14,4
4,chandler,912,9654,46866,182,18.54,18.04,38.0,402.25,10.59,1
4,monica,766,7675,37195,168,15.57,14.35,31.92,319.79,10.02,5
4,joey,816,8747,42314,176,16.59,16.35,34.0,364.46,10.72,3
5,phoebe,813,8574,44053,151,15.17,15.83,33.88,357.25,10.55,6
5,rachel,906,10050,51392,168,16.9,18.56,37.75,418.75,11.09,3
5,ross,870,9026,46609,174,16.23,16.67,36.25,376.08,10.37,5
5,chandler,941,8492,43562,202,17.56,15.68,39.21,353.83,9.02,1
5,monica,898,8474,43119,187,16.75,15.65,37.42,353.08,9.44,4
5,joey,932,9537,49224,190,17.39,17.61,38.83,397.38,10.23,2
6,phoebe,787,8743,42246,156,14.21,13.9,31.48,349.72,11.11,6
6,rachel,993,11589,55563,192,17.92,18.42,39.72,463.56,11.67,2
6,ross,913,10620,51973,177,16.48,16.88,36.52,424.8,11.63,3
6,chandler,1037,11267,54177,205,18.72,17.91,41.48,450.68,10.86,1
6,monica,901,9296,44636,184,16.26,14.78,36.04,371.84,10.32,5
6,joey,909,11397,54849,199,16.41,18.12,36.36,455.88,12.54,4
7,phoebe,800,8203,39990,178,14.84,13.96,33.33,341.79,10.25,6
7,rachel,1092,12305,59015,181,20.26,20.94,45.5,512.71,11.27,1
7,ross,822,9256,45589,162,15.25,15.75,34.25,385.67,11.26,5
7,chandler,847,9044,43879,175,15.71,15.39,35.29,376.83,10.68,4
7,monica,900,9852,47996,187,16.69,16.77,37.5,410.5,10.95,3
7,joey,930,10105,48884,178,17.25,17.2,38.75,421.04,10.87,2
8,phoebe,771,8172,38677,124,14.72,13.96,32.12,340.5,10.6,5
8,rachel,1083,12319,57718,143,20.68,21.05,45.12,513.29,11.37,1
8,ross,983,10831,51710,146,18.77,18.51,40.96,451.29,11.02,2
8,chandler,676,6636,31689,132,12.91,11.34,28.17,276.5,9.82,6
8,monica,812,9301,44182,124,15.51,15.89,33.83,387.54,11.45,4
8,joey,911,11268,53637,168,17.4,19.25,37.96,469.5,12.37,3
9,phoebe,808,9279,47403,122,15.13,15.69,33.67,386.62,11.48,6
9,rachel,913,9763,49080,123,17.1,16.51,38.04,406.79,10.69,3
9,ross,899,10478,53750,125,16.84,17.72,37.46,436.58,11.66,4
9,chandler,928,11036,56674,144,17.38,18.67,38.67,459.83,11.89,1
9,monica,915,9256,46880,137,17.13,15.65,38.12,385.67,10.12,2
9,joey,877,9313,47169,129,16.42,15.75,36.54,388.04,10.62,5
10,phoebe,697,7354,37761,108,15.62,16.68,38.72,408.56,10.55,4
10,rachel,775,7893,39847,113,17.37,17.9,43.06,438.5,10.18,2
10,ross,869,8204,41852,113,19.48,18.61,48.28,455.78,9.44,1
10,chandler,692,6607,33930,113,15.51,14.99,38.44,367.06,9.55,5
10,monica,691,6957,35458,110,15.49,15.78,38.39,386.5,10.07,6
10,joey,737,7075,36011,111,16.52,16.05,40.94,393.06,9.6,3
