season,character,adjacent_turns,replies_to_phoebe,phoebe_replies_to,share_of_phoebe_interactions_pct
1,monica,274,132,142,28.78
1,rachel,212,110,102,22.27
1,chandler,200,98,102,21.01
1,ross,146,73,73,15.34
1,joey,120,57,63,12.61
2,rachel,210,107,103,25.0
2,monica,198,98,100,23.57
2,chandler,154,81,73,18.33
2,joey,153,72,81,18.21
2,ross,125,62,63,14.88
3,monica,341,168,173,32.2
3,joey,215,108,107,20.3
3,rachel,187,87,100,17.66
3,ross,168,86,82,15.86
3,chandler,148,80,68,13.98
4,monica,320,155,165,30.83
4,rachel,240,116,124,23.12
4,chandler,178,88,90,17.15
4,joey,161,82,79,15.51
4,ross,139,77,62,13.39
5,monica,244,119,125,21.81
5,joey,241,120,121,21.54
5,rachel,234,115,119,20.91
5,chandler,208,108,100,18.59
5,ross,192,92,100,17.16
6,rachel,495,239,256,37.84
6,chandler,230,105,125,17.58
6,ross,223,109,114,17.05
6,monica,212,106,106,16.21
6,joey,148,77,71,11.31
7,rachel,428,215,213,34.6
7,monica,233,111,122,18.84
7,ross,227,110,117,18.35
7,joey,226,114,112,18.27
7,chandler,123,60,63,9.94
8,monica,368,188,180,33.79
8,rachel,244,121,123,22.41
8,joey,201,103,98,18.46
8,ross,153,74,79,14.05
8,chandler,123,58,65,11.29
9,monica,274,138,136,26.32
9,rachel,229,116,113,22.0
9,ross,225,112,113,21.61
9,joey,218,112,106,20.94
9,chandler,95,45,50,9.13
10,monica,254,135,119,25.43
10,joey,250,130,120,25.03
10,rachel,222,108,114,22.22
10,ross,176,84,92,17.62
10,chandler,97,44,53,9.71
