season,character,lines,words,line_share
1,Phoebe,637,6297,0.1334
1,Rachel,853,8888,0.1787
1,Monica,875,7806,0.1833
1,Chandler,817,8758,0.1711
1,Joey,640,6156,0.1341
1,Ross,952,10107,0.1994
2,Phoebe,666,8967,0.146
2,Rachel,811,8989,0.1778
2,Monica,790,8146,0.1732
2,Chandler,771,8878,0.169
2,Joey,656,7566,0.1438
2,Ross,868,9427,0.1903
3,Phoebe,793,9507,0.1513
3,Rachel,925,9190,0.1765
3,Monica,847,8616,0.1616
3,Chandler,825,9232,0.1574
3,Joey,775,8751,0.1479
3,Ross,1075,11101,0.2052
4,Phoebe,711,8692,0.1445
4,Rachel,908,9744,0.1846
4,Monica,766,7675,0.1557
4,Chandler,912,9654,0.1854
4,Joey,816,8747,0.1659
4,Ross,807,8990,0.164
5,Phoebe,813,8574,0.1517
5,Rachel,906,10050,0.169
5,Monica,898,8474,0.1675
5,Chandler,941,8492,0.1756
5,Joey,932,9537,0.1739
5,Ross,870,9026,0.1623
6,Phoebe,787,8743,0.1421
6,Rachel,993,11589,0.1792
6,Monica,901,9296,0.1626
6,Chandler,1037,11267,0.1872
6,Joey,909,11397,0.1641
6,Ross,913,10620,0.1648
7,Phoebe,800,8203,0.1484
7,Rachel,1092,12305,0.2026
7,Monica,900,9852,0.1669
7,Chandler,847,9044,0.1571
7,Joey,930,10105,0.1725
7,Ross,822,9256,0.1525
8,Phoebe,771,8172,0.1472
8,Rachel,1083,12319,0.2068
8,Monica,812,9301,0.1551
8,Chandler,676,6636,0.1291
8,Joey,911,11268,0.174
8,Ross,983,10831,0.1877
9,Phoebe,808,9279,0.1513
9,Rachel,913,9763,0.171
9,Monica,915,9256,0.1713
9,Chandler,928,11036,0.1738
9,Joey,877,9313,0.1642
9,Ross,899,10478,0.1684
10,Phoebe,697,7354,0.1562
10,Rachel,775,7893,0.1737
10,Monica,691,6957,0.1549
10,Chandler,692,6607,0.1551
10,Joey,737,7075,0.1652
10,Ross,869,8204,0.1948
