word,z_score,phoebe_count,others_count,phoebe_per_10k,others_per_10k
ooh,16.007,195,224,23.27,4.83
cause,10.525,139,252,16.59,5.43
mike,10.261,67,59,8.0,1.27
frank,8.84,40,12,4.77,0.26
massage,8.208,35,17,4.18,0.37
yay,7.699,34,24,4.06,0.52
umm,7.033,186,567,22.2,12.23
uh-huh,6.989,58,101,6.92,2.18
david,6.418,27,25,3.22,0.54
song,5.196,27,41,3.22,0.88
ass,4.977,37,75,4.42,1.62
mother,4.853,31,58,3.7,1.25
voice,4.791,19,24,2.27,0.52
uhm,4.715,40,90,4.77,1.94
y'know,4.595,190,722,22.68,15.57
oooh,4.454,18,25,2.15,0.54
except,4.407,24,43,2.86,0.93
ohh,4.326,89,291,10.62,6.28
cab,4.249,21,36,2.51,0.78
name,4.233,72,224,8.59,4.83
cat,4.053,34,82,4.06,1.77
sweet,4.029,41,108,4.89,2.33
babies,3.857,31,75,3.7,1.62
god,3.718,282,1220,33.66,26.31
pregnant,3.607,30,76,3.58,1.64
happy,3.589,65,216,7.76,4.66
business,3.568,16,29,1.91,0.63
living,3.517,29,74,3.46,1.6
sad,3.304,19,42,2.27,0.91
everyone,3.297,41,125,4.89,2.7
fun,3.291,71,252,8.47,5.43
then,3.251,205,881,24.47,19.0
crap,3.204,15,30,1.79,0.65
totally,3.157,58,200,6.92,4.31
which,3.052,57,199,6.8,4.29
gift,3.051,18,42,2.15,0.91
won,2.99,43,141,5.13,3.04
mom,2.978,56,197,6.68,4.25
monica,2.973,175,754,20.89,16.26
kill,2.966,25,69,2.98,1.49
playing,2.845,27,79,3.22,1.7
eyes,2.766,22,61,2.63,1.32
definitely,2.766,22,61,2.63,1.32
running,2.709,13,29,1.55,0.63
luck,2.695,24,70,2.86,1.51
good,2.692,252,1156,30.08,24.93
though,2.659,31,99,3.7,2.14
eat,2.657,40,137,4.77,2.95
grandmother,2.627,15,37,1.79,0.8
street,2.603,20,56,2.39,1.21
really,2.581,375,1792,44.76,38.65
wait,2.541,151,664,18.02,14.32
bunch,2.536,13,31,1.55,0.67
bob,2.501,14,35,1.67,0.75
one,2.463,288,1358,34.37,29.29
too,2.436,160,715,19.1,15.42
someone,2.431,63,247,7.52,5.33
also,2.427,34,117,4.06,2.52
must,2.414,33,113,3.94,2.44
dog,2.404,28,92,3.34,1.98
