episode_code,season,title,n_aired_episodes,friends_lines_total,friends_words_total,phoebe_lines,phoebe_words,phoebe_line_share_pct,phoebe_word_share_pct,rachel_lines,rachel_words,ross_lines,ross_words,chandler_lines,chandler_words,monica_lines,monica_words,joey_lines,joey_words
0101,1,The One Where Monica Gets a New Roomate (The Pilot-The Uncut Version),1,265,3064,19,263,7.17,8.58,48,782,47,511,39,393,73,703,39,412
0102,1,The One With The Sonogram at the End,1,167,1705,14,115,8.38,6.74,38,404,63,654,16,232,28,241,8,59
0103,1,The One With The Thumb,1,213,2087,38,463,17.84,22.18,26,204,33,305,36,462,52,466,28,187
0104,1,The One With George Stephanopoulos,1,217,2156,31,310,14.29,14.38,43,502,40,397,32,353,47,397,24,197
0105,1,The One With the East German Laundry Detergent,1,204,2141,23,207,11.27,9.67,37,371,40,530,35,339,33,309,36,385
0106,1,The One With The Butt,1,169,2109,10,173,5.92,8.2,15,158,22,214,58,836,34,370,30,358
0107,1,The One With the Blackout,1,195,1830,24,293,12.31,16.01,43,320,53,473,25,363,23,141,27,240
0108,1,The One Where Nana Dies Twice,1,164,1400,16,158,9.76,11.29,18,153,48,440,37,347,34,230,11,72
0109,1,The One Where Underdog Gets Away,1,197,2187,20,224,10.15,10.24,35,435,36,422,26,379,48,467,32,260
0110,1,The One With The Monkey,1,169,1828,49,495,28.99,27.08,18,259,29,400,31,395,23,141,19,138
0111,1,The One With Mrs. Bing,1,236,2071,40,304,16.95,14.68,19,200,62,553,42,353,41,327,32,334
0112,1,The One With the Dozen Lasagnas,1,218,2034,42,325,19.27,15.98,37,363,51,515,33,273,23,279,32,279
0113,1,The One With the Boobies,1,162,1555,27,268,16.67,17.23,27,246,12,128,35,325,18,110,43,478
0114,1,The One With the Candy Hearts,1,134,1496,11,156,8.21,10.43,19,147,22,420,40,357,21,170,21,246
0115,1,The One With the Stoned Guy,1,209,2181,30,314,14.35,14.4,33,188,38,337,36,591,40,458,32,293
0116,1,"The One With Two Parts, part 1",1,186,1992,38,434,20.43,21.79,22,236,32,379,51,596,17,137,26,210
0117,1,"The One With Two Parts, Part 2",1,221,2009,32,231,14.48,11.5,53,491,34,396,20,180,56,497,26,214
0118,1,The One With All The Poker,1,263,2269,35,259,13.31,11.41,69,682,62,486,32,287,39,317,26,238
0119,1,The One Where the Monkey Gets Away,1,202,2265,23,160,11.39,7.06,57,742,50,706,18,203,37,293,17,161
0120,1,The One With the Evil Orthodontist,1,191,2033,18,125,9.42,6.15,57,693,20,184,42,480,31,239,23,312
0121,1,The One With The Fake Monica,1,164,1707,14,110,8.54,6.44,30,287,29,409,20,164,51,556,20,181
0122,1,The One With The Ick Factor,1,239,1966,42,418,17.57,21.26,34,219,36,344,57,422,48,422,22,141
0123,1,The One With the Birth,1,163,1645,19,287,11.66,17.45,22,194,56,541,21,178,20,179,25,266
0124,1,The One Where Rachel Finds Out,1,226,2282,22,205,9.73,8.98,53,612,37,363,35,250,38,357,41,495
0201,2,The One With Ross' New Girlfriend,1,200,2222,33,453,16.5,20.39,46,498,45,489,27,296,27,214,22,272
0202,2,The One With the Breast Milk,1,151,1667,21,187,13.91,11.22,35,367,23,221,15,190,32,412,25,290
0203,2,The One Where Mr. Heckles Dies,1,178,2150,29,472,16.29,21.95,28,242,22,241,45,610,30,333,24,252
0204,2,The One With Phoebe's Husband,1,171,2295,33,424,19.3,18.47,47,831,45,426,17,166,16,221,13,227
0205,2,The One With Five Steaks and an Eggplant,1,243,2215,25,258,10.29,11.65,31,216,56,497,63,641,38,376,30,227
0206,2,The One With the Baby on the Bus,1,182,2057,34,494,18.68,24.02,24,258,31,353,35,323,26,297,32,332
0207,2,The One Where Ross Finds Out,1,185,2388,23,381,12.43,15.95,61,880,38,426,25,384,20,152,18,165
0208,2,The One With the Last,1,187,2253,19,275,10.16,12.21,42,495,48,631,21,327,39,337,18,188
0209,2,The One With Phoebe's Dad,1,210,2296,50,654,23.81,28.48,26,320,37,475,31,267,32,299,34,281
0210,2,The One With Russ,1,233,2344,38,297,16.31,12.67,38,326,39,356,36,382,48,500,34,483
0211,2,The One With the Lesbian Wedding,1,171,2018,28,423,16.37,20.96,36,339,40,339,20,233,29,390,18,294
0212-0213,2,The One After the Superbowl,2,326,3510,48,478,14.72,13.62,51,546,49,600,69,817,46,421,63,648
0214,2,The One With the Prom Video,1,188,2345,16,193,8.51,8.23,29,267,43,595,36,710,43,357,21,223
0215,2,The One Where Ross and Rachel...You Know,1,206,1851,16,177,7.77,9.56,52,467,55,504,19,207,46,358,18,138
0216,2,The One Where Joey Moves Out,1,200,2065,28,335,14.0,16.22,28,250,22,234,42,417,34,315,46,514
0217,2,The One Where Eddie Moves In,1,208,2436,33,583,15.87,23.93,18,196,40,454,37,383,42,376,38,444
0218,2,The One Where Dr. Remore Dies,1,169,1947,20,323,11.83,16.59,31,311,30,251,37,418,34,311,17,333
0219,2,The One Where Eddie Won't Go,1,213,2112,20,221,9.39,10.46,25,270,37,391,42,406,30,175,59,649
0220,2,The One Where Old Yeller Dies,1,226,2837,26,465,11.5,16.39,47,502,59,698,27,308,42,522,25,342
0221,2,The One With the Two Bullies,1,222,2359,44,611,19.82,25.9,35,241,42,439,42,379,26,380,33,309
0222,2,The One With the Two Parties,1,167,2432,22,330,13.17,13.57,30,533,31,428,29,372,39,553,16,216
0223,2,The One With the Chicken Pox,1,172,2143,37,553,21.51,25.8,18,219,15,121,31,403,38,432,33,415
0224,2,The One With Barry and Mindy's Wedding,1,154,2031,23,380,14.94,18.71,33,415,21,258,25,239,33,415,19,324
0301,3,The One With the Princess Leia Fantasy,1,214,2161,19,331,8.88,15.32,39,322,49,411,41,374,30,280,36,443
0302,3,The One Where No-one's Ready,1,263,2822,29,270,11.03,9.57,45,397,77,929,42,431,33,497,37,298
0303,3,The One With the Jam,1,201,2265,37,593,18.41,26.18,31,217,35,344,27,321,34,430,37,360
0304,3,The One With The Metaphorical Tunnel,1,196,2435,36,543,18.37,22.3,22,215,21,217,48,623,26,276,43,561
0305,3,The One With Frank Jr.,1,217,2133,55,605,25.35,28.36,26,246,35,317,41,366,25,250,35,349
0306,3,The One With The Flashback,1,220,2156,42,410,19.09,19.02,21,242,32,399,42,431,58,453,25,221
0307,3,The One With The Race Car Bed,1,182,2210,31,368,17.03,16.65,37,475,52,522,12,119,16,149,34,577
0308,3,The One With The Giant Poking Device,1,206,2488,23,320,11.17,12.86,39,375,30,393,44,549,33,348,37,503
0309,3,The One With The Football,1,264,2632,24,209,9.09,7.94,33,256,61,579,42,485,66,720,38,383
0310,3,The One Where Rachel Quits,1,176,2298,20,250,11.36,10.88,32,581,55,701,30,299,15,158,24,309
0311,3,The One Where Chandler Can't Remember Which Sister,1,254,2713,18,164,7.09,6.04,57,554,54,547,52,587,44,417,29,444
0312,3,The One With All The Jealousy,1,185,2025,16,148,8.65,7.31,40,371,48,487,30,476,25,301,26,242
0313,3,The One Where Monica and Richard Are Friends,1,201,2007,25,230,12.44,11.46,37,315,30,200,25,221,51,632,33,409
0314,3,The One With Phoebe's Ex-Partner,1,163,2192,33,534,20.25,24.36,24,367,28,375,30,428,26,202,22,286
0315,3,The One Where Ross and Rachel Take A Break,1,197,2216,33,424,16.75,19.13,46,642,45,437,25,242,27,267,21,204
0316,3,The One The Morning After,1,250,2747,31,253,12.4,9.21,54,666,87,1075,24,236,33,263,21,254
0317,3,The One Without The Ski Trip,1,263,2791,51,627,19.39,22.47,44,382,53,657,39,435,37,307,39,383
0318,3,The One With The Hypnosis Tape,1,161,1724,42,567,26.09,32.89,23,258,19,150,23,175,34,343,20,231
0319,3,The One With The Tiny T-shirt,1,173,1971,16,121,9.25,6.14,35,345,38,382,35,425,19,303,30,395
0320,3,The One With The Dollhouse,1,196,2033,30,262,15.31,12.89,41,364,22,152,35,511,23,248,45,496
0321,3,The One With A Chick. And A Duck,1,299,2609,30,248,10.03,9.51,72,513,70,543,42,461,55,592,30,252
0322,3,The One With The Screamer,1,192,1802,23,325,11.98,18.04,26,164,38,346,21,166,31,203,53,598
0323,3,The One With Ross's Thing,1,175,1976,46,639,26.29,32.34,20,219,34,298,18,200,36,417,21,203
0324,3,The One With The Ultimate Fighting Champion,1,163,1801,35,379,21.47,21.04,30,333,18,228,27,354,42,388,11,119
0325,3,The One At The Beach,1,229,2190,48,687,20.96,31.37,51,371,44,412,30,317,28,172,28,231
0401,4,The One With The Jellyfish,1,186,2077,35,411,18.82,19.79,33,364,44,500,23,239,26,198,25,365
0402,4,The One With The Cat,1,196,2200,25,371,12.76,16.86,41,407,34,393,28,275,40,433,28,321
0403,4,The One With The ‘Cuffs,1,191,2034,22,288,11.52,14.16,43,461,4,45,59,545,38,394,25,301
0404,4,The One With The Ballroom Dancing,1,179,1871,31,468,17.32,25.01,29,184,19,150,26,243,26,216,48,610
0405,4,The One With Joey's New Girlfriend,1,187,1845,26,358,13.9,19.4,28,229,29,285,53,501,31,261,20,211
0406,4,The One With The Dirty Girl,1,205,2228,34,420,16.59,18.85,25,287,28,271,47,478,33,425,38,347
